id,ss_id,produce_id,ProduceWeight,PercentageReceived,ContainerType,ChildSurvey
37325588-57215dcd,587-37325398-95c4b592,prod1000,2,1,1,0
45246864-5985b2dc,587-45246718-7e76cacb,prod1000,2,1,1,0
47383485-da4392bf,587-47297543-b6ef4ba3,prod1000,2,1,1,0
38768798-d245885c,595-38768777-a3a14e64,prod1000,2,1,1,0
38768952-b2932ff7,595-38768777-a3a14e64,prod1000,2,1,1,0
46611168-3dd98f23,595-46610996-bd44a017,prod1000,2,1,1,0
38919968-af19651c,597-38919912-f7718d47,prod1000,2,1,1,0
38920065-064604ff,597-38919912-f7718d47,prod1000,2,1,1,0
46695608-27b40dd1,597-46695376-fbca54b2,prod1000,2,1,1,0
51638002-9fb40a42,598-51637782-b0a880f0,prod1000,2,1,1,0
39547754-73f153f3,600-39547692-b9e96cb6,prod1000,2,1,1,0
39624287-125f0a05,613-39624201-8cd32152,prod1000,2,1,1,0
41657419-3d9eeb73,613-41657365-1bccc2ec,prod1000,2,1,1,0
51713938-8f7d503f,614-51713620-9555b7a8,prod1000,2,1,1,0
46856973-b2490a06,620-46856584-500f8428,prod1000,2,1,1,0
36553504-6aac3910,631-35123911-eeed98e3,prod1000,2,1,1,0
38954780-e18ccecf,637-38954677-a44d0e1c,prod1000,2,1,1,0
46792248-d6f8e0d1,637-46792095-5f9fea7f,prod1000,2,1,1,0
36723932-30655c2a,656-36723832-61665318,prod1000,2,1,1,0
42388723-5a2f6fc1,656-42388584-c569e483,prod1000,2,1,1,0
43854349-8634c4e1,66-43854202-974180a2,prod1000,2,1,1,0
37161730-888f134b,664-37161681-64781aa6,prod1000,2,1,1,0
39365642-dfa55a46,664-39365563-5b1bb251,prod1000,2,1,1,0
41570346-58f77712,664-41570246-47047912,prod1000,2,1,1,0
38599203-e699558b,668-37324863-be92ae1c,prod1000,2,1,1,0
39611273-ff873f05,668-39611256-867adc04,prod1000,2,1,1,0
41912262-8ab048ce,668-41912012-12d0f682,prod1000,2,1,1,0
45261165-3d9bdf00,668-45261110-267b79fe,prod1000,2,1,1,0
38020705-d1ff96d2,669-38020687-e114b03a,prod1000,2,1,1,0
51740166-ef286aa5,678-51739721-a12aa671,prod1000,2,1,1,0
34346413-0ae7d699,680-34346102-761bad48,prod1000,2,1,1,0
39368744-4a41167e,682-39368673-a105dc42,prod1000,2,1,1,0
46786157-172ff9db,683-46765768-c66b196f,prod1000,2,1,1,0
39547182-6e3e210e,684-39536546-28ff28fc,prod1000,2,1,1,0
39464099-775aa06b,686-39464021-569eca36,prod1000,2,1,1,0
46782271-f184c954,687-46782059-3498c50d,prod1000,2,1,1,0
39465066-44af5501,688-39464993-ed83572a,prod1000,2,1,1,0
36589327-57d428a5,694-36589285-724cb325,prod1000,2,1,1,0
39451967-61be7d72,694-39451428-e20548ad,prod1000,2,1,1,0
46591153-ff674574,694-46591116-39acb30f,prod1000,2,1,1,0
49488360-6213699f,694-49409122-f6c86816,prod1000,2,1,1,0
51621867-e8c40d74,694-51621496-c9c85b1f,prod1000,2,1,1,0
38923179-99e56cf5,695-38923160-3adeb9fe,prod1000,2,1,1,0
39612699-0cf5b469,695-39612671-38350415,prod1000,2,1,1,0
44649943-ea4cdb50,695-44649847-cf502b32,prod1000,2,1,1,0
46759941-0abc812f,695-46759903-732fd3ae,prod1000,2,1,1,0
49575856-2f877fde,695-49575789-08ee1645,prod1000,2,1,1,0
50273966-cb6b9b37,695-50273891-d7f6f136,prod1000,2,1,1,0
38751881-99d63001,696-38751840-5d7278f2,prod1000,2,1,1,0
40977323-f7a92cf1,696-40977290-54de0133,prod1000,2,1,1,0
46632901-950c80ad,696-46632431-60340b5f,prod1000,2,1,1,0
51618748-925ad91d,696-51618619-ca8bd460,prod1000,2,1,1,0
50190481-5cc54b52,697-50189563-f10415a1,prod1000,2,1,1,0
35949561-8ed3c542,7-35949448-11d3a5dc,prod1000,2,1,1,0
47195698-e7c8cf97,7-47195587-beb5a21d,prod1000,2,1,1,0
50023603-b559d6b6,7-50023526-29392844,prod1000,2,1,1,0
38872646-a3ca2858,701-38872358-67481788,prod1000,2,1,1,0
40051515-2ad8e385,701-40051468-e9be1652,prod1000,2,1,1,0
49507216-c7d16c5a,701-49505243-5b989b68,prod1000,2,1,1,0
34415009-90d8921b,703-34414908-8ef1cac1,prod1000,2,1,1,0
38833578-22736d5a,703-38833318-dd79f761,prod1000,2,1,1,0
46686847-c8651568,703-46686755-bb3ccab9,prod1000,2,1,1,0
49489732-051f3833,703-49489679-71f1ae73,prod1000,2,1,1,0
51703045-239000d5,703-51703004-64a7587f,prod1000,2,1,1,0
36632208-d99b9b55,704-36630817-05d2da35,prod1000,2,1,1,0
38837633-a68748b4,704-38837565-c9c60ff6,prod1000,2,1,1,0
44480249-4bb471a1,704-44479976-95375413,prod1000,2,1,1,0
46691192-6c634ea4,704-46691164-5f5193c3,prod1000,2,1,1,0
51717720-277a8803,704-51717585-acfd2139,prod1000,2,1,1,0
45093477-8fa19109,705-45091352-877c2d7c,prod1000,2,1,1,0
50096323-4e34e0f0,705-50096241-9218d48d,prod1000,2,1,1,0
49421876-3fa86abe,708-49421311-3848992b,prod1000,2,1,1,0
51537172-6646b23d,708-51537138-5ff85da7,prod1000,2,1,1,0
49491632-bdfc825e,710-49491354-21b77fdd,prod1000,2,1,1,0
50199846-a4822b38,710-50199808-2be1e906,prod1000,2,1,1,0
49576631-ea04f53e,711-49576521-9847d6ae,prod1000,2,1,1,0
38935832-a2b3760b,8-38935770-b446a54d,prod1000,2,1,1,0
39611222-a1d57b09,8-39611135-7f8b0446,prod1000,2,1,1,0
44548555-6bfcd464,8-44548307-9f14445f,prod1000,2,1,1,0
46760749-d681f09c,8-46760595-2eb1c6ab,prod1000,2,1,1,0
49575765-f7f68df5,8-49575616-319cf25f,prod1000,2,1,1,0
50271987-d904200a,8-50266656-b1bb6080,prod1000,2,1,1,0
40239485-4eecde2f,94-40239271-2725b3fe,prod1000,2,1,1,0
36726074-411d8cbb,441-36724322-1ba58a4f,prod1000,2,1,1,0
46852139-73ea2178,511-46851966-329aad8c,prod1000,2,1,1,0
46680776-4b23f2ca,513-46680244-3d912c3b,prod1000,2,1,1,0
41592772-533a9511,52-41592577-bb19cc72,prod1000,2,1,1,0
34428866-2c545079,576-34428567-59c14f92,prod1000,2,1,1,0
50095814-b6af5bd7,581-50095782-589c9ebb,prod1000,2,1,1,0
41560252-bf018ed7,589-41560169-f609e9b5,prod1000,2,1,1,0
38756579-07d919eb,665-38756490-fdb81f3e,prod1000,2,1,1,0
51787489-477c774e,711-51787213-6a306b31,prod1000,2,1,1,0
43893849-b5ff1c9d,122-43893656-72e4b25f,prod1003,2,1,1,0
42167468-93048577,193-42167238-844a996d,prod1003,2,1,1,0
42167571-54167155,379-42167512-b1b0ba94,prod1003,2,1,1,0
42260831-0c2a80ab,422-42260481-c60b2a10,prod1003,2,1,1,0
35950003-466427fb,468-35949643-466ea915,prod1003,2,1,1,0
41669753-b0022980,471-41669665-6f3b6595,prod1003,2,1,1,0
43953935-e78b817d,477-43953789-6b776e7f,prod1003,2,1,1,0
39354055-90d86212,491-39353938-4e42f25b,prod1003,2,1,1,0
35223097-f688e2c2,493-35222734-c23914ec,prod1003,2,1,1,0
39523704-c987868f,493-39523570-2c180141,prod1003,2,1,1,0
40053633-97523fe3,508-40053494-b2cfa69c,prod1003,2,1,1,0
40964007-a8ef6516,513-40963880-54b711c5,prod1003,2,1,1,0
44463834-281bb915,517-44463769-bc3b9ee6,prod1003,2,1,1,0
45097107-069d7817,538-45096990-7f45011f,prod1003,2,1,1,0
45242135-418aaacc,539-45241880-db87f043,prod1003,2,1,1,0
36660964-a430ea45,576-36660609-fcc8428f,prod1003,2,1,1,0
42390924-be6b092f,584-42390764-a04035db,prod1003,2,1,1,0
50896648-32d0becb,586-50896121-b2ce0adf,prod1003,2,1,1,0
51796077-87162d4b,586-51795968-f5d888bb,prod1003,2,1,1,0
43790828-21401fe0,589-43790661-00f5dcf8,prod1003,2,1,1,0
50275404-ab0a7a22,604-50274146-27680713,prod1003,2,1,1,0
42355911-a22e36db,610-42355794-cb8269e4,prod1003,2,1,1,0
47462962-9acc2cda,668-47462872-2b801f22,prod1003,2,1,1,0
43802899-fd770ded,677-43801950-dee52f9e,prod1003,2,1,1,0
35954724-425af927,7-35949448-11d3a5dc,prod1003,2,1,1,0
44671842-cd3f2289,709-44670607-1796f5d6,prod1003,2,1,1,0
45189180-eab3c7d9,499-45174001-00af45c6,prod1003,2,1,1,0
44556217-2dea2e7d,516-44556166-2b04d038,prod1003,2,1,1,0
45192063-64b8a3ec,522-45191929-85ccc6f4,prod1003,2,1,1,0
43951093-e1a280c0,573-43949753-73ae2ef1,prod1003,2,1,1,0
45178467-c01afb1b,573-45178411-e39f0a74,prod1003,2,1,1,0
44380820-1918ea92,620-44380718-26d1e2a5,prod1003,2,1,1,0
45178826-faec660e,677-45178640-d3652375,prod1003,2,1,1,0
34549975-89e9af77,123-34549822-e827b8a7,prod1003,2,1,1,0
44564476-cbec9eb4,123-44564404-d8dfc1db,prod1003,2,1,1,0
49576832-78a9b924,123-49576763-e78659b3,prod1003,2,1,1,0
44574496-4ee24f39,129-44573248-85c35713,prod1003,2,1,1,0
44375989-d593a820,171-44375903-afeb4711,prod1003,2,1,1,0
44649971-77787a92,177-44649858-d80e0a2e,prod1003,2,1,1,0
43868180-9eb0e8cd,178-43868167-ada5ccb2,prod1003,2,1,1,0
44636069-62abafea,187-44636013-f386a8a8,prod1003,2,1,1,0
44478189-24739598,188-44478155-a0819e4e,prod1003,2,1,1,0
49528438-e93e5bbc,188-49528426-5181069e,prod1003,2,1,1,0
44496310-07af2de3,385-44477258-f46819f4,prod1003,2,1,1,0
51699974-515f4ff5,385-51699739-1dedfcfb,prod1003,2,1,1,0
45284046-310233ba,412-45283378-34c66148,prod1003,2,1,1,0
44560061-827bdacc,441-44559953-5db3b916,prod1003,2,1,1,0
36632981-ecef8fb8,442-36632923-6af633e2,prod1003,2,1,1,0
44471355-e4050964,442-44471330-dbbe8e22,prod1003,2,1,1,0
43937346-4498376f,454-43937116-0e9b6cc2,prod1003,2,1,1,0
45265618-69cd7a78,455-45265328-d85ce145,prod1003,2,1,1,0
42277652-aa2999ec,456-42277415-6266ad85,prod1003,2,1,1,0
43969096-6c5b7008,460-43968805-9772ae7d,prod1003,2,1,1,0
49610621-088aa831,462-49610428-0867a26d,prod1003,2,1,1,0
44484811-6cebc9b3,465-44484084-7f23f4a8,prod1003,2,1,1,0
39365189-c631efed,468-39364972-94945e1a,prod1003,2,1,1,0
43801191-658b1e4d,470-43801089-c3c99fc8,prod1003,2,1,1,0
34417051-4882ea1f,486-34416218-c6def17b,prod1003,2,1,1,0
45921857-831b385e,486-45921046-8d61e4fb,prod1003,2,1,1,0
35115509-0efe299e,490-35114743-a439b890,prod1003,2,1,1,0
39554095-7bbe760a,490-39553758-fd1f259e,prod1003,2,1,1,0
35948923-ba6334e6,491-35948778-89f9108c,prod1003,2,1,1,0
36590933-7d4d478c,492-36590643-cbc6c65b,prod1003,2,1,1,0
39527590-b4d9419b,492-39527509-522f5c3f,prod1003,2,1,1,0
45097362-0dba8075,497-45072901-e4be2366,prod1003,2,1,1,0
43978098-6177dba8,499-43978041-8caee2a5,prod1003,2,1,1,0
43867167-b91fda4c,50-43866926-f84f0a37,prod1003,2,1,1,0
45106063-1824db45,50-45095289-404f97fc,prod1003,2,1,1,0
44400433-745772a2,501-44380157-7402a55a,prod1003,2,1,1,0
42252134-f967aae5,506-42252027-86a5c365,prod1003,2,1,1,0
46683302-87725c2b,506-46683096-0b2daf95,prod1003,2,1,1,0
50099366-b207eab8,506-50099174-6d0d2198,prod1003,2,1,1,0
40042476-fe15b7e6,507-40042463-213dc6c9,prod1003,2,1,1,0
42339768-bf1c894d,507-42339732-d31ab559,prod1003,2,1,1,0
46766849-4ceab0df,507-46766812-fac3d8d9,prod1003,2,1,1,0
50182212-84575774,507-50182068-ba610bea,prod1003,2,1,1,0
42345160-adc31198,508-42345123-f1b02a23,prod1003,2,1,1,0
46780366-007d527b,508-46779685-0989774e,prod1003,2,1,1,0
43968621-8aeef246,51-43968073-2d92be06,prod1003,2,1,1,0
42431066-1c9f37ca,511-42431017-fa512346,prod1003,2,1,1,0
46852017-c46a787e,511-46851966-329aad8c,prod1003,2,1,1,0
50268563-b4175da8,511-50268431-085724aa,prod1003,2,1,1,0
42257021-2445d67e,513-42256914-5669488c,prod1003,2,1,1,0
50099851-93e6e1cc,513-50099820-d098b7da,prod1003,2,1,1,0
40049189-b1969c03,516-40049075-c2298088,prod1003,2,1,1,0
42348213-3ef2b2af,516-42347915-fb64fc2b,prod1003,2,1,1,0
50190197-02a3b103,516-50190127-c5795e60,prod1003,2,1,1,0
40958005-52f286c2,517-40957921-39ec2532,prod1003,2,1,1,0
42257623-7fd19d10,517-42257581-df06257d,prod1003,2,1,1,0
43785508-0e7ab68f,52-43785278-2a21ca18,prod1003,2,1,1,0
